Country,Equivalence
American Samoa,
Andorra,
Aruba,
Bahamas,Bahamas
"Bahamas, The",Bahamas
Bermuda,
Bolivia,Bolivia
Bolivia (Plurinational State of),Bolivia
British Virgin Islands,
Cayman Islands,
Channel Islands,
Congo,Congo
Congo (Democratic Republic of the),Congo
"Congo, Dem. Rep.",Congo
"Congo, Rep.",Congo
Cote d'Ivoire,
Curacao,
Czech Republic,
Czechia,
Côte d'Ivoire,Cote d'Ivoire
Democratic People's Republic of Korea,Korea North
Democratic Republic of the Congo,Congo
Dominica,
Egypt,Egypt
"Egypt, Arab Rep.",Egypt
Eswatini,
Eswatini (Kingdom of),Eswatini
Faroe Islands,
French Polynesia,
Gambia,Gambia
"Gambia, The",Gambia
Gibraltar,
Greenland,
Guam,
"Hong Kong SAR, China",Hong Kong
"Hong Kong, China (SAR)",Hong Kong
Iran (Islamic Republic of),Iran
"Iran, Islamic Rep.",Iran
Isle of Man,
Korea (Republic of),Korea South
"Korea, Dem. People’s Rep.",Korea North
"Korea, Rep.",Korea South
Kosovo,
Kyrgyz Republic,Kyrgyzstan
Kyrgyzstan,Kyrgyzstan
Lao PDR,Lao
Lao People's Democratic Republic,Lao
Liechtenstein,
"Macao SAR, China",
"Macedonia, FYR",Macedonia
Marshall Islands,
Micronesia (Federated States of),Micronesia
"Micronesia, Fed. Sts.",Micronesia
Moldova,Moldova
Moldova (Republic of),Moldova
Monaco,
Nauru,
New Caledonia,
Northern Mariana Islands,
Palau,
"Palestine, State of",Palestine
Puerto Rico,
Republic of Korea,Korea South
Republic of Moldova,Moldova
Republic of North Macedonia,Macedonia
Saint Kitts and Nevis,
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,
San Marino,
Sint Maarten (Dutch part),
Slovak Republic,Slovakia
Slovakia,Slovakia
Somalia,
St. Kitts and Nevis,
St. Lucia,Saint Lucia
St. Martin (French part),
St. Vincent and the Grenadines,
Tanzania,Tanzania
Tanzania (United Republic of),Tanzania
The former Yugoslav Republic of Macedonia,Macedonia
Turks and Caicos Islands,
Tuvalu,
United Kingdom,United Kingdom
United Kingdom of Great Britain and Northern Ireland,United Kingdom
United Republic of Tanzania,Tanzania
United States,United States of America
United States of America,United States of America
Venezuela (Bolivarian Republic of),Venezuela
"Venezuela, RB",Venezuela
Viet Nam,Vietnam
Vietnam,
Virgin Islands (U.S.),
West Bank and Gaza,
Yemen,Yemen
"Yemen, Rep.",Yemen